,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,total
civilian_deaths,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,24.0,43.0,4.0,0.0,8.0,119.0,124.0,6.0,93.0,69.0,23.0,38.0,2305.0,1729.0,150.0,240.0,4985.0
total_deaths,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,255.0,152.0,17.0,0.0,8.0,164.0,136.0,6.0,179.0,113.0,135.0,96.0,3185.0,2778.0,427.0,398.0,8067.0
event_count,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,27.0,14.0,4.0,0.0,6.0,32.0,22.0,3.0,52.0,33.0,21.0,28.0,172.0,354.0,69.0,36.0,880.0
GBP,1233930277.0492198,1440711395.67069,1377375030.5292099,1411917558.45855,1278781166.72188,851174350.6494089,1115389731.7911901,1007791186.2010599,937741468.029676,967338348.6583141,999477510.686632,914500299.097034,931833302.7528571,991387870.1246301,1139754799.16304,1270080250.6526802,1350301057.06866,1460562038.37097,1698125617.9230402,1985239276.62611,1981728140.77833,1986014845.6318398,2212699746.81377,2184183758.31567,1518565219.0106099,1702898939.55483,1583776759.97697,1756124677.1967099,
