region,indicator
Middle East,0.01818181818181818
Middle East,0.03571428571428571
Middle East,0.5
Middle East,0.2
Middle East,0.08333333333333333
Africa,0.14285714285714285
Africa,1.0
Africa,0.08333333333333333
Africa,0.3333333333333333
Africa,0.3333333333333333
Africa,0.125
Africa,0.014705882352941176
Africa,0.05555555555555555
Africa,0.038461538461538464
Africa,0.06
Africa,1.0
Africa,0.08695652173913043
Africa,1.0
Africa,0.3333333333333333
Africa,0.14285714285714285
Africa,0.16666666666666666
Africa,0.25
Africa,1.0
Africa,0.08333333333333333
Africa,0.1
Africa,0.04
Africa,0.007575757575757576
Africa,0.05
Africa,0.05
Africa,0.1
Africa,0.011111111111111112
Africa,0.3333333333333333
Africa,0.07142857142857142
Africa,0.023255813953488372
Africa,0.011428571428571429
Africa,0.09090909090909091
Africa,0.027777777777777776
Africa,0.0022222222222222222
Africa,0.004048582995951417
Africa,0.005319148936170213
Africa,0.3333333333333333
Africa,0.09523809523809523
Africa,0.1
Africa,0.2
Africa,0.08333333333333333
Africa,0.25
Africa,0.14285714285714285
Africa,0.1111111111111111
Africa,0.5
Africa,0.16666666666666666
Africa,0.2
Africa,0.2
Africa,0.07692307692307693
Africa,0.03225806451612903
Africa,0.005
Africa,0.125
Africa,0.05
Africa,0.5
Africa,0.5
Africa,0.125
Africa,0.14285714285714285
Africa,0.1
Africa,0.047619047619047616
Africa,0.01
Africa,0.058823529411764705
Africa,1.2
Africa,0.3333333333333333
Africa,0.03125
Africa,0.5
Africa,0.027777777777777776
Africa,0.5
Africa,0.014705882352941176
Africa,0.3333333333333333
Africa,0.18181818181818182
Africa,0.005
Africa,0.05
Africa,0.14285714285714285
Africa,0.045454545454545456
Africa,0.2
Africa,0.125
Africa,0.16666666666666666
Africa,0.125
Africa,0.0625
Africa,0.125
Africa,0.3333333333333333
Africa,0.2857142857142857
Africa,1.0
Africa,1.5
Africa,0.041666666666666664
Africa,0.5
Africa,0.5
Africa,0.2222222222222222
Africa,0.1
Africa,1.0
Africa,0.5
Africa,0.06666666666666667
Africa,0.1
Africa,0.2
Africa,0.5
Africa,0.041666666666666664
Africa,0.25
Africa,0.16666666666666666
Africa,0.16666666666666666
Africa,1.0
Africa,0.05
Africa,0.5
Africa,0.03333333333333333
Africa,1.0
Africa,0.03333333333333333
Africa,0.14285714285714285
Africa,0.26666666666666666
Africa,0.02
Africa,0.14285714285714285
Africa,1.0
Africa,1.0
Africa,1.0
Africa,0.10344827586206896
Africa,0.1111111111111111
Africa,0.25
Africa,0.2
Africa,0.06666666666666667
Africa,0.08333333333333333
Africa,0.3333333333333333
Africa,0.07692307692307693
Africa,0.16666666666666666
Africa,0.020833333333333332
Africa,0.011111111111111112
Africa,0.5
Africa,0.2
Africa,0.038461538461538464
Africa,0.2857142857142857
Africa,0.10752688172043011
Africa,0.42857142857142855
Africa,0.17857142857142858
Africa,0.1
Africa,0.5
Africa,4.0
Africa,1.0
Africa,1.0
Africa,0.0058823529411764705
Africa,0.1111111111111111
Africa,0.1111111111111111
Africa,0.14285714285714285
Africa,0.02857142857142857
Middle East,0.25
Middle East,0.5
Africa,0.2
Africa,0.2
Africa,1.0
Africa,0.125
Africa,0.125
Africa,0.3333333333333333
Middle East,0.6666666666666666
Middle East,1.0
Africa,0.043478260869565216
Africa,0.05
Asia,0.375
Asia,1.0
Asia,1.5
Asia,0.09090909090909091
Asia,0.1
Middle East,0.02564102564102564
Middle East,0.09090909090909091
Middle East,0.07142857142857142
Middle East,0.5
Middle East,0.125
Middle East,0.5
Africa,0.07142857142857142
Middle East,0.375
Middle East,1.0
Middle East,0.25
Middle East,0.2
Middle East,0.2857142857142857
Middle East,0.5
Middle East,1.0
Middle East,0.14285714285714285
Middle East,0.5
Asia,1.0
Asia,1.0
Asia,0.5
