,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,total
civilian_deaths,688.0,501.0,950.0,104.0,1.0,89.0,13.0,224.0,9.0,19.0,76.0,6.0,90.0,32.0,35.0,22.0,20.0,114.0,465.0,630.0,619.0,419.0,366.0,291.0,255.0,220.0,164.0,318.0,6740.0
total_deaths,1061.0,2700.0,8455.0,4729.0,483.0,626.0,444.0,949.0,277.0,330.0,542.0,185.0,483.0,638.0,426.0,670.0,309.0,1174.0,1624.0,1759.0,2208.0,2722.0,2118.0,2987.0,1028.0,1253.0,1217.0,2014.0,43411.0
event_count,33.0,52.0,19.0,18.0,20.0,37.0,69.0,92.0,27.0,18.0,41.0,27.0,31.0,61.0,49.0,52.0,24.0,78.0,296.0,289.0,257.0,313.0,271.0,444.0,381.0,406.0,316.0,369.0,4090.0
GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5352000000.0,5647000000.0,5925000000.0,6217000000.0,
