,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
civilian_deaths,58.0,204.0,163.0,0.0,0.0,37.0,285.0,646.0,629.0,361.0,305.0,172.0,67.0,642.0,694.0,818.0,279.0,63.0,20.0,1.0,21.0,74.0,0.0,0.0,0.0,7.0,0.0,0.0
total_deaths,1057.0,809.0,1018.0,76.0,0.0,160.0,537.0,1765.0,1354.0,1220.0,1044.0,1229.0,212.0,1319.0,1627.0,2009.0,922.0,334.0,156.0,32.0,60.0,74.0,0.0,0.0,0.0,7.0,0.0,30.0
event_count,25.0,34.0,21.0,4.0,0.0,18.0,20.0,119.0,77.0,122.0,91.0,116.0,55.0,164.0,193.0,251.0,221.0,98.0,21.0,8.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0
GBP,5276480985.999371,4304398865.88268,3321729057.12215,2857457860.05088,3220439044.18949,3990430446.71216,5755818947.42125,6044585326.938001,6269333313.17108,6584815846.52754,5998563257.946589,6193246837.09687,5840503868.57245,6178563590.89254,6336696288.98214,7940362799.179971,9013834373.41246,9942597779.99265,12292813603.2327,14239026629.639,21203769124.656002,20179411062.934,20508595015.4506,23516083900.4013,24879053946.9135,27927875335.8068,27856380083.2478,25527910090.6285
