,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
civilian_deaths,4.0,2.0,40.0,0.0,1.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_deaths,48.0,2.0,270.0,0.0,37.0,44.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,231.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
event_count,4.0,2.0,8.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,22.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GBP,0.0,0.0,3473562850.25798,2257129873.66261,1878253818.07845,2167569095.1174603,2813313281.80715,2907517543.3645,3338949151.59927,3723903723.63772,4153725966.8767705,3953839593.7842703,3596448035.44747,3472194099.40131,2960306120.93557,3537721020.4115796,4310356252.83669,4756204069.61876,5885321655.91684,6548530572.35291,6584649419.28348,6622541528.56888,7516834160.25277,7890216507.68913,8452509315.87722,8776360623.298979,8724656126.498491,8022638721.92013
