,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
civilian_deaths,251.0,575.0,557.0,664.0,385.0,211.0,148.0,312.0,369.0,576.0,501.0,1132.0,475.0,1029.0,746.0,416.0,594.0,702.0,564.0,596.0,411.0,618.0,249.0,281.0,202.0,284.0,120.0,146.0
total_deaths,1850.0,4732.0,3720.0,4161.0,2328.0,1439.0,1080.0,1330.0,1509.0,1554.0,2547.0,3979.0,1716.0,2899.0,2256.0,1767.0,2016.0,2158.0,1725.0,1766.0,1627.0,1641.0,789.0,800.0,702.0,731.0,629.0,780.0
event_count,117.0,332.0,218.0,240.0,332.0,246.0,227.0,175.0,277.0,354.0,538.0,1287.0,419.0,1010.0,744.0,764.0,911.0,932.0,726.0,674.0,845.0,784.0,403.0,427.0,345.0,398.0,323.0,417.0
GBP,292093308319.64197,316697337894.513,266502281094.117,284363884080.101,275570363431.902,322909902308.89197,355475984177.451,387656017798.596,410320300470.28296,415730874171.13,452699998386.914,462146799337.698,478965491060.771,508068952065.901,599592902016.345,699688852930.276,808901077222.8391,920316529729.7471,1201111768410.27,1186952757636.11,1323940295874.06,1656617073124.71,1823049927772.05,1827637859136.23,1856722121394.42,2035393459980.06,2111751098184.5,2263522518124.03
