,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,total
civilian_deaths,1043.0,293.0,2304.0,3026.0,1671.0,478.0,386.0,273.0,369.0,1344.0,129.0,367.0,214.0,620.0,1966.0,3753.0,655.0,764.0,203.0,485.0,412.0,291.0,750.0,252.0,89.0,269.0,590.0,779.0,23775.0
total_deaths,7515.0,5335.0,4565.0,4314.0,6042.0,960.0,1514.0,2945.0,4872.0,5758.0,2067.0,3535.0,3720.0,3067.0,5107.0,7393.0,1484.0,2187.0,1158.0,1241.0,2689.0,1790.0,2588.0,1525.0,1935.0,1912.0,2552.0,1969.0,91739.0
event_count,32.0,63.0,30.0,57.0,78.0,18.0,43.0,55.0,90.0,126.0,64.0,71.0,75.0,54.0,106.0,224.0,86.0,109.0,69.0,98.0,126.0,94.0,167.0,115.0,139.0,160.0,363.0,244.0,2956.0
GBP,15291507936.5079,12408647540.9836,11379222222.2222,7034219712.52567,8881785938.48085,12794192334.2541,13829744878.6366,9018243044.45155,11681494637.3041,11250327988.0478,10682045258.3647,12257418326.0734,13182979783.533,14803189092.7044,17646503525.1743,21457470202.7839,26524538565.7403,35822408611.5588,45898948564.0593,54526580231.5568,53150209167.934006,65634109236.7736,67327289319.733,68125631150.2939,72065940085.772,82151588418.8325,97156119150.0,95584380032.2061,
