,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
civilian_deaths,2.0,26.0,16.0,59.0,79.0,0.0,31.0,2.0,66.0,108.0,14.0,20.0,21.0,36.0,0.0,0.0,0.0,2.0,0.0,2.0,9.0,3.0,12.0,4.0,3.0,0.0,0.0,0.0
total_deaths,121.0,84.0,16.0,135.0,285.0,0.0,330.0,5.0,366.0,344.0,31.0,56.0,47.0,45.0,39.0,3.0,1.0,129.0,0.0,11.0,19.0,19.0,37.0,23.0,8.0,0.0,0.0,0.0
event_count,11.0,14.0,7.0,16.0,30.0,0.0,39.0,2.0,32.0,31.0,9.0,23.0,12.0,15.0,5.0,1.0,1.0,6.0,0.0,3.0,11.0,9.0,14.0,10.0,4.0,0.0,0.0,0.0
GBP,4913065110.5316105,5716644272.046921,5617236032.865561,6004885321.34354,5678827998.8247,3877196914.93966,4878719133.22771,5065830414.04947,4672503920.19866,5030344074.0413,5144045359.98185,4679604753.55711,4877602059.5098295,5333862371.27113,6858952880.10003,8031344381.09898,8707015771.00113,9358710935.433659,11284603070.5653,13428461873.5568,12809044977.5918,12937300245.1506,14368348214.2024,14202389641.9262,14810978041.4667,15308965398.5779,13609978076.4224,14765462631.3216
