,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,total
civilian_deaths,0.0,0.0,0.0,97.0,143.0,10.0,6.0,16.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.0
total_deaths,0.0,0.0,0.0,3859.0,1045.0,366.0,368.0,2797.0,97.0,600.0,4.0,46.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,17.0,98.0,28.0,0.0,3.0,0.0,0.0,0.0,9337.0
event_count,0.0,0.0,0.0,38.0,34.0,31.0,46.0,66.0,10.0,19.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,7.0,21.0,5.0,0.0,2.0,0.0,0.0,0.0,289.0
GBP,0.0,2629395066.2701697,2534720480.3244,1909246640.8083801,1646693642.1108801,1346074611.4779198,1231523034.7839699,1043893062.60575,921843144.229059,1320126706.15503,1086567377.6054301,860550305.832491,1080774007.25065,1221113780.25397,1554125530.8029,2076148695.5058103,2312319579.02843,2830236053.84429,3719497371.09659,5161336170.46084,4979481980.35098,5642178579.58438,6522732202.50748,7633049792.093209,8506674782.754709,9236309138.04277,7853450374.0001,6951657158.900929,
