,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,total
civilian_deaths,144.0,142.0,182.0,192.0,119.0,148.0,10.0,14.0,9.0,8.0,20.0,0.0,0.0,1.0,2.0,0.0,0.0,5.0,1.0,0.0,6.0,3.0,3.0,0.0,0.0,8.0,0.0,3.0,1020.0
total_deaths,1945.0,1228.0,1353.0,1188.0,779.0,369.0,274.0,105.0,116.0,33.0,89.0,5.0,21.0,13.0,13.0,3.0,0.0,11.0,32.0,40.0,54.0,29.0,15.0,0.0,3.0,14.0,9.0,11.0,7752.0
event_count,172.0,140.0,123.0,126.0,72.0,35.0,41.0,25.0,19.0,9.0,16.0,4.0,3.0,6.0,4.0,2.0,1.0,3.0,9.0,13.0,13.0,13.0,11.0,0.0,1.0,8.0,4.0,2.0,875.0
GBP,22499559086.0343,26410386669.3609,34672122380.7687,36139225287.9079,35158109999.4973,44882079766.8913,53312793687.3836,55252414130.3019,58147522522.5225,55501467877.381,50187324567.882996,51744749133.213,52030158775.4055,54777553515.0809,58731030121.8671,66768703497.5687,76060606060.606,88643193061.748,102170981144.136,120550599815.441,120822986521.479,147528937028.778,171761737046.585,192648999090.082,201217661645.50897,201049665375.132,189212096470.293,192093512185.01102,
