,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,total
civilian_deaths,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
total_deaths,0.0,0.0,0.0,585.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,585.0
event_count,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0
GBP,0.0,0.0,0.0,0.0,0.0,0.0,1752975841.35916,1695130456.52174,1930071406.9264102,1639497206.7039099,1170785047.79461,1288429150.51394,1480656884.38462,1661818168.4226,1980901553.5122602,2598231467.4367104,2988338439.3155303,3408272498.11516,4401154128.122971,6054806100.8468,5439422031.396271,5811604051.96737,7015206498.21955,7284686576.2835,7985349731.464709,7983271110.60446,6512899540.34594,6749515654.64419,
