,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
civilian_deaths,0.0,23.0,3912.0,164.0,134.0,47.0,113.0,111.0,0.0,43.0,38.0,0.0,0.0,0.0,448.0,330.0,1077.0,762.0,1751.0,629.0,707.0,648.0,411.0,824.0,1416.0,2923.0,1885.0,3550.0
total_deaths,50.0,117.0,23678.0,833.0,366.0,894.0,1437.0,765.0,2233.0,79.0,307.0,185.0,27.0,111.0,7999.0,4365.0,3521.0,4609.0,4489.0,2732.0,1718.0,1851.0,1394.0,1407.0,4011.0,15010.0,11251.0,11128.0
event_count,2.0,6.0,87.0,48.0,38.0,32.0,58.0,51.0,31.0,9.0,17.0,8.0,7.0,6.0,105.0,343.0,505.0,535.0,451.0,403.0,354.0,366.0,191.0,258.0,504.0,792.0,686.0,595.0
GBP,65641363782.5668,179885815374.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36627901762.062996,49954890353.2609,65140293687.5395,88840050497.0957,131613661510.475,111660855042.735,138516722649.573,185749664444.44397,218000986222.63898,234648370497.427,234648370497.427,179640210726.448,171489001692.047
