,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
civilian_deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0
total_deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0
event_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
GBP,165100250614.251,206431036697.24802,211638016538.689,236038607528.23102,225924893540.112,246195171328.67102,289567597153.80396,281357654723.127,254813937753.721,260602356079.129,260202429149.798,237904919845.21802,237841610738.255,258860342555.995,319003386004.515,370885274397.815,387365999253.824,409813072387.404,471821790309.335,518626043650.21204,484552653514.865,483548693409.33704,527008036846.81104,497884088082.651,520117140495.05896,531750903174.68604,454991318727.90704,466365727353.85
