,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,total
civilian_deaths,0.0,80.0,0.0,1.0,3.0,56.0,1.0,5.0,4.0,43.0,2504.0,42.0,386.0,119.0,135.0,61.0,44.0,19.0,5.0,148.0,19.0,97.0,190.0,893.0,859.0,5246.0,3778.0,657.0,15395.0
total_deaths,0.0,89.0,380.0,943.0,1185.0,90.0,1.0,87.0,585.0,338.0,3518.0,2104.0,2417.0,612.0,445.0,2095.0,251.0,225.0,153.0,426.0,531.0,972.0,1812.0,1988.0,3305.0,10261.0,8978.0,3810.0,47601.0
event_count,0.0,2.0,4.0,12.0,8.0,16.0,1.0,5.0,19.0,31.0,39.0,30.0,40.0,43.0,64.0,84.0,21.0,21.0,21.0,28.0,41.0,88.0,251.0,400.0,325.0,544.0,499.0,401.0,3038.0
GBP,24231168858.7187,30757075595.3681,27392886872.5547,29300903643.0584,15789003752.7594,18086400535.5777,28546958641.2735,34987951375.0,35822342617.6978,32004613750.0,35870792987.9432,46386011231.37,44137994251.618,59116847821.5797,67655813930.0926,87845420504.485,112248353104.911,145429764861.249,166451213395.64,208064753766.47,169481317540.364,369062464570.387,411743801711.642,460953836444.364,514966287206.505,568498939784.021,481066152870.266,405082677659.868,
