,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,total
civilian_deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,12.0,13.0,124.0,0.0,0.0,0.0,0.0,3.0,15.0,45.0,0.0,160.0,1.0,0.0,8.0,0.0,0.0,3.0,0.0,411.0
total_deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,12.0,13.0,256.0,430.0,0.0,0.0,0.0,3.0,15.0,45.0,0.0,160.0,1.0,25.0,8.0,98.0,0.0,3.0,0.0,1096.0
event_count,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,26.0,4.0,0.0,0.0,0.0,1.0,6.0,21.0,0.0,3.0,1.0,1.0,4.0,3.0,0.0,1.0,0.0,78.0
GBP,2432029380.4369397,2666616176.91609,3014890569.04099,3284625277.16186,3279063317.63475,3383218922.79336,3693753379.0599203,3869032270.91633,3783788551.0819,3588376057.0153604,3461282293.6462398,2995360969.1619897,2833442750.43639,2949637039.04424,3446442218.8982897,3666349049.42641,2937071767.25576,2931625104.50109,4134173275.1244,4515824647.43939,4609923756.18485,4735956493.06479,5067360009.39196,5667229758.9878,6231725484.55943,6624068015.50039,6699203543.29047,6298927773.1587,
