,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,total
civilian_deaths,0.0,0.0,0.0,30.0,204.0,0.0,52.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509.0
total_deaths,0.0,0.0,52.0,771.0,1837.0,0.0,52.0,0.0,26.0,38.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,621.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3427.0
event_count,0.0,0.0,6.0,94.0,113.0,0.0,3.0,0.0,5.0,3.0,0.0,0.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,12.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,256.0
GBP,0.0,7753501867.76095,6357615894.03974,3690328963.64086,2701181331.3081603,2513870586.73344,2693731865.9703603,3094915505.9093,3510540809.24855,3613500117.2492795,2800024313.95144,3057453482.55826,3219487824.8791103,3395778673.79183,3991374548.5051203,5125273880.74998,6410941012.591889,7745406200.853741,10172869679.7366,12795044472.7663,10766809099.0721,11638536834.4274,14434619982.2117,15846474595.773,16140047012.1438,16509305827.7171,13993546732.4726,14332880086.196001,
