,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
civilian_deaths,129.0,96.0,54.0,24.0,23.0,40.0,37.0,22.0,41.0,18.0,18.0,216.0,74.0,110.0,117.0,139.0,30.0,23.0,50.0,116.0,100.0,58.0,50.0,30.0,42.0,33.0,54.0,20.0
total_deaths,984.0,1352.0,1549.0,445.0,318.0,308.0,188.0,199.0,322.0,138.0,219.0,1761.0,792.0,763.0,1119.0,470.0,487.0,434.0,483.0,566.0,1047.0,372.0,414.0,311.0,537.0,484.0,628.0,430.0
event_count,135.0,126.0,113.0,59.0,45.0,40.0,18.0,26.0,40.0,23.0,48.0,171.0,146.0,211.0,153.0,135.0,124.0,131.0,103.0,182.0,155.0,119.0,149.0,109.0,139.0,149.0,203.0,125.0
GBP,42575183905.5606,44311593755.7845,45417561302.2497,52976344928.9564,54368083953.1119,64084460124.4644,74119987244.5011,82848140618.0266,82344260570.6685,72207025219.4752,82995147089.9742,81026297144.2795,76262072022.215,81357602950.1818,83908206456.0645,91371239764.8818,103071585462.599,122210719245.902,149359920005.894,174195135053.121,168334599538.168,199590774784.58102,224143083706.77698,250092093547.53198,271836123723.678,284584522898.935,292774099014.19,304905406845.908
