,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
civilian_deaths,80.0,256.0,119.0,166.0,291.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
total_deaths,284.0,1459.0,737.0,762.0,908.0,508.0,143.0,156.0,30.0,44.0,19.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
event_count,221.0,562.0,448.0,572.0,578.0,260.0,39.0,37.0,20.0,23.0,11.0,1.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
GBP,128902675070.723,115553279480.54,123943432441.241,134545231416.55,134309759157.81699,139752450152.078,155460285076.232,147607982694.857,152586154513.889,137774361015.14,136631966609.379,136361854808.496,121516070204.783,115482368343.658,175256916996.047,228593566165.088,257772710832.953,271638484826.10898,299415505152.29803,286769839732.726,295936485832.635,375349396273.835,416418862155.872,396327771010.96204,366623856821.78296,350850571747.123,317406594612.388,294840648284.114
