,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
civilian_deaths,21.0,23.0,22.0,1.0,4.0,112.0,224.0,478.0,2.0,0.0,1238.0,1429.0,219.0,359.0,84.0,519.0,48.0,11.0,4.0,20.0,24.0,49.0,50.0,7.0,48.0,3.0,2.0,1.0
total_deaths,160.0,393.0,340.0,1.0,145.0,485.0,1910.0,2764.0,13.0,7.0,6197.0,4333.0,992.0,1503.0,539.0,1317.0,674.0,260.0,182.0,410.0,697.0,481.0,396.0,525.0,365.0,170.0,86.0,73.0
event_count,6.0,28.0,56.0,1.0,12.0,31.0,205.0,147.0,5.0,3.0,67.0,176.0,159.0,385.0,73.0,253.0,247.0,152.0,145.0,192.0,315.0,245.0,241.0,223.0,179.0,72.0,31.0,27.0
GBP,506500154001.466,516814258695.568,517962962962.96295,460290556900.726,435083713850.83704,395077301248.464,395531066563.296,391719993756.82794,404926534140.017,270953116950.026,195905767668.56198,259708496267.33,306602673980.117,345110438692.185,430347770731.78705,591016690742.798,764017107992.391,989930542278.695,1299705247685.76,1660844408499.61,1222643696991.85,1524916112078.87,2031768558635.85,2170143623037.67,2230625004653.55,2063662281005.13,1365865245098.18,1283162348132.89
