,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,total
civilian_deaths,0.0,0.0,0.0,307.0,56.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,396.0
total_deaths,0.0,0.0,35.0,2243.0,1197.0,1489.0,54.0,5.0,29.0,34.0,18.0,13.0,6.0,0.0,0.0,8.0,24.0,5.0,12.0,30.0,7.0,20.0,21.0,16.0,11.0,46.0,63.0,137.0,5523.0
event_count,0.0,0.0,3.0,181.0,74.0,58.0,9.0,3.0,3.0,4.0,6.0,7.0,5.0,0.0,0.0,3.0,22.0,8.0,11.0,7.0,6.0,14.0,20.0,12.0,10.0,33.0,43.0,31.0,573.0
GBP,0.0,8858006035.915659,8792365810.5094,4991350457.5425,3973027396.65195,3313739673.54738,3052467522.3610396,3176749593.11788,3962710163.1116705,4446396217.63265,4581222442.457829,5272617196.045171,5707720390.8515,6235795103.88809,7276013031.96905,8680472168.51531,13245716099.0057,20983019923.8863,33050343782.7759,48852482960.0779,44291490420.5026,52902703376.1056,65951627200.2026,69684317718.9409,74164435946.4627,75244166772.9185,53074370486.0433,37847715736.0406,
