,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,total
civilian_deaths,16.0,104.0,136.0,90.0,228.0,115.0,50.0,70.0,34.0,69.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,922.0
total_deaths,814.0,377.0,322.0,193.0,484.0,572.0,723.0,846.0,455.0,274.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,5082.0
event_count,43.0,25.0,18.0,17.0,82.0,73.0,100.0,89.0,55.0,35.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,551.0
GBP,0.0,0.0,0.0,0.0,2533727592.02872,2791435272.25765,3441205692.90388,3506695719.5716,3443413388.70675,3120425502.56968,3517242477.2336802,3654031716.2764897,3984000517.01899,4284028482.5497103,4658246918.260139,5337833248.028279,6293046161.82646,7274595706.66355,8639235842.177559,10351914093.1626,10401851850.6062,11242275198.9706,12829541141.0175,14038383450.1945,15449630418.5461,16777820332.6952,18049954289.4301,20016747754.0153,
