,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
civilian_deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,137.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_deaths,0.0,0.0,0.0,0.0,21.0,0.0,0.0,14.0,31.0,10.0,17203.0,1793.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
event_count,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,9.0,2.0,13.0,6.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
GBP,0.0,0.0,0.0,477101651.648376,467872714.755603,531688311.688312,578015625.0,693535954.1900669,686490090.140141,745526154.93283,688921325.7120429,706370815.584416,752368495.512622,729321366.6518611,870247703.182758,1109054005.43971,1098425900.74116,1211161879.6748,1317974491.05691,1380188800.0,1856695551.21951,2117039512.1951199,2607739837.39837,0.0,0.0,0.0,0.0,0.0
