,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,total
civilian_deaths,3.0,7.0,0.0,9.0,1.0,6.0,4.0,3.0,14.0,1.0,0.0,4.0,32.0,0.0,0.0,0.0,7.0,24.0,134.0,299.0,40.0,0.0,9.0,34.0,79.0,140.0,167.0,36.0,1053.0
total_deaths,63.0,7.0,17.0,159.0,287.0,34.0,60.0,170.0,212.0,322.0,194.0,254.0,192.0,32.0,7.0,20.0,215.0,219.0,186.0,783.0,170.0,85.0,144.0,309.0,271.0,339.0,386.0,130.0,5267.0
event_count,3.0,1.0,2.0,26.0,18.0,13.0,4.0,9.0,11.0,15.0,7.0,16.0,18.0,4.0,2.0,4.0,29.0,22.0,51.0,116.0,25.0,27.0,26.0,69.0,49.0,80.0,39.0,48.0,734.0
GBP,8283114648.38116,8572359162.868759,8151479004.213341,8209129171.73649,5751789915.05363,7148145375.78545,9046326059.988571,12045858436.2399,13115773737.5664,14093998843.7334,12896013576.7324,12705357103.0056,12986007425.8781,13147743910.7241,14904517649.8476,16095337093.8366,18737897744.7948,25825524820.8064,31958195182.2406,35895153327.8497,37021512048.8158,39999659233.7555,41953433591.4101,50412754821.9795,55097343447.5616,61445345999.0765,63767539356.6051,70529014778.3251,
