,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,total
civilian_deaths,61.0,64.0,30.0,159.0,63.0,36.0,28.0,33.0,3.0,10.0,26.0,25.0,27.0,20.0,25.0,31.0,30.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,694.0
total_deaths,61.0,64.0,30.0,223.0,63.0,163.0,28.0,33.0,33.0,10.0,26.0,25.0,27.0,27.0,25.0,31.0,30.0,22.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,924.0
event_count,28.0,66.0,38.0,75.0,75.0,46.0,46.0,53.0,5.0,14.0,41.0,38.0,50.0,30.0,40.0,50.0,32.0,21.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,751.0
GBP,42119835734.8703,47028010660.9808,51749026408.4507,58450099415.2047,58124193832.5991,56531046464.6465,74906532239.819,68263823148.8138,85843534588.6206,91331203433.1629,97976886247.3172,117140723529.41199,122903960204.505,92893587733.6549,83620628582.1082,112453382329.615,145510008134.75,183477522123.89398,230364012575.68698,315953388510.678,329787628928.472,393190682070.491,316482190800.364,381286237847.66705,371006299120.24396,0.0,0.0,0.0,
