,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
civilian_deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
event_count,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GBP,2118574772.11136,2547163582.33149,2750041434.26295,3021910216.71827,2709178326.78271,2998570146.54095,3439931906.61479,3570271557.8847103,3705372038.7053704,3923637971.04652,4127313818.3383603,4306192435.82207,4331870647.71535,4689832689.83269,5456583589.39342,6062780269.0583,6394851386.64345,6757119558.3992,7880509170.54476,8977149553.24447,8528202278.41067,8741059602.64901,9500001983.37933,9198987219.66026,10131419448.978,11188785252.7566,10287007021.1557,10949092471.597
