,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
civilian_deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
event_count,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GBP,925598071408.4109,1177326298642.53,1242109402060.25,1315806990573.45,1061445229481.97,1095590837536.02,1170787357066.44,1308929305684.53,1239050936221.01,1266309223820.68,1248563148945.24,1141760021927.4,1162317840447.43,1266510668642.95,1569649631715.58,1798314755525.2,1852661936077.6,1942633841801.53,2203053327128.39,2390729210487.77,2185160158794.11,2125058270201.64,2276292459232.78,2072823111961.1,2130491269673.44,2151732834411.5,1824902219021.73,1849970464191.78
