,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,total
civilian_deaths,54.0,48.0,70.0,205.0,7.0,23.0,1.0,34.0,3.0,7.0,1.0,4.0,6.0,0.0,0.0,25.0,22.0,8.0,0.0,3.0,2.0,1.0,0.0,0.0,11.0,0.0,12.0,36.0,583.0
total_deaths,81.0,94.0,107.0,225.0,43.0,32.0,14.0,46.0,16.0,21.0,14.0,105.0,62.0,6.0,8.0,51.0,95.0,99.0,18.0,13.0,10.0,5.0,0.0,2.0,54.0,4.0,18.0,75.0,1318.0
event_count,20.0,27.0,36.0,29.0,18.0,6.0,13.0,23.0,11.0,11.0,18.0,8.0,27.0,4.0,15.0,37.0,71.0,74.0,13.0,11.0,9.0,8.0,1.0,2.0,38.0,4.0,15.0,29.0,578.0
GBP,28781714763.7823,31598341233.5793,30957483290.541,31708873954.9405,33166520084.8295,33768662171.2233,37939748051.3878,46438482370.3942,48244308274.8086,49984559471.3656,51270569883.5275,53369787318.6245,53991289844.3291,54724081490.5102,60158929188.2556,65108544250.0425,69442943089.4309,71819083683.7403,79611888213.148,91631278239.3237,102477791472.39,115279077465.226,128637938711.386,133355749482.47801,149990451022.29,172885454931.453,195078561219.325,221415280325.518,
