,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
civilian_deaths,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_deaths,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
event_count,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GBP,696915430.6630571,1114703088.1614,1156141998.33412,1284766234.2216,1357206995.7462401,1419293454.99606,1698982437.76019,1602760100.4814699,1716699913.1944401,1576904292.4588,1547884442.26205,1738100848.09721,1542477354.99355,1432228172.7020001,2197612760.58535,2770082815.20915,3178126547.9298,3291353812.85535,3469363931.16431,3294093359.62088,3580417156.54024,4438778553.635329,4820499498.18209,4807282468.0268,4575596300.78922,4486261555.30421,4137638726.69274,3727303664.17403
